org_id,gene_id,stage,delivery_method,target_organism,price_usd,year_started,regulatory_status,peer_reviewed,trial_id,evidence_summary,notes,source_url
broad_institute_of_mit_and_harvard_david_r_l,lmna_abe_g608g,preclinical,Split-intein dual AAV9,,,,,true,,Developed and delivered the ABE that corrects LMNA c.1824C>T and doubled median lifespan in HGPS mice.,Stage as reported: preclinical (mouse).,https://doi.org/10.1038/s41586-020-03086-7
cellphire,mahs_tardigrade,preclinical,protein loading into blood cells,Homo sapiens,,2019,academic,false,,DARPA Biostasis subaward with UNC to use tardigrade proteins for stabilizing blood cells and biologics in dry state.,,https://www.cellphire.com/
center_for_non_communicable_diseases,slc30a8_ko,preclinical,,,,,,true,,"Operates the Pakistan Genome Resource biobank (145,037 sequenced participants) that identified the 18 human SLC30A8 knockouts and ran the recall-by-genotype OGTTs.",Stage as reported: human genetics / recall-by-genotype.,https://doi.org/10.1007/s00125-025-06530-3
chen_qian_lab,csmg_snail,preclinical,,Chrysomallon squamiferum,,2020,academic,true,,Published genome assembly (444.4 Mb) showing independent TF sets for scale vs shell with ancient but flexible biomineralization toolkit.,,https://doi.org/10.1038/s41467-020-15522-3
chiba_lab,newtic1_newt,preclinical,,Cynops pyrrhogaster,,2016,academic,true,,Discovered Newtic1 as newt-specific gene involved in regeneration through erythrocyte clumping and dedifferentiation at wound sites.,,https://doi.org/10.1038/srep36380
church_lab,fgf21_stgfbr2,preclinical,AAV,mouse,,2019,academic,true,,Triple gene therapy (FGF21 + sTGFbR2 + Klotho) reversed obesity/diabetes/heart failure/kidney fibrosis in mice,Davidsohn 2019 PNAS; foundational for Rejuvenate Bio,https://doi.org/10.1073/pnas.1906508116
cold_spring_harbor_laboratory_corina_amor_la,plaur_car_senolytic,preclinical,,,,,,true,,First author of both the 2020 Nature and 2024 Nature Aging senolytic CAR T papers; now runs an independent lab on senolytic cell therapy.,,https://doi.org/10.1038/s43587-023-00560-5
corbo_lab_washington_university_school_of_me,cyp2j19_bdh1l_keto,preclinical,,,,,no therapeutic or commercial program,true,,"Source of the astaxanthin-sufficiency result, the substrate-promiscuity result, the zebrafish transgenic conversion, and the TTC39B enhancement.",Stage as reported: basic research / mechanism established in cell culture and fish.,https://doi.org/10.1016/j.cub.2022.08.013
crispr_therapeutics_ag,angptl3_base_edit,phase_1,"lipid nanoparticle, intravenous",,,,"investigational, first-in-human ascending dose",true,NCT07491172,Official title states in vivo editing of the ANGPTL3 gene in participants with refractory dyslipidemias.,"Stage as reported: Phase 1, recruiting.",https://clinicaltrials.gov/study/NCT07491172
csiro_plant_industry_acpfg_university_of_ade,hkt15_einkorn,pilot,,,,,,true,,25% grain yield increase on saline soils versus near-isogenic lines without the Nax2 locus.,"Stage as reported: field-validated, moved into breeding programmes.",https://doi.org/10.1038/nbt.2120
decode_genetics_amgen,asgr1_lof,preclinical,,,,,no ASGR1-directed therapeutic in registered clinical trials as of this search,true,,"Discovered and replicated both ASGR1 LOF alleles (del12, p.W158X) and their non-HDL cholesterol and CAD associations across 8 populations.",Stage as reported: target discovery / preclinical.,https://doi.org/10.1056/NEJMoa1508419
department_of_biology_osaka_university_terak,parietopsin_lizard,preclinical,,,,,,true,,Sakai 2012 Biochemistry; Wada 2012 PLoS ONE,Stage as reported: basic research.,https://doi.org/10.1021/bi2018283
department_of_biology_washington_university_,oil_droplet_apocarotenoid,preclinical,,,,,,true,,Toomey 2016 eLife,Stage as reported: basic research.,https://doi.org/10.7554/eLife.15675
dompe_farmaceutici_s_p_a,ngf_corneal_nerve,phase_3,"topical eye drops, 20 µg/mL, 6 drops daily for 8 weeks",,,,"Approved — EMA (Oxervate, 2017) and FDA (Oxervate, cenegermin-bkbj, 2018) for moderate-to-severe neurotrophic keratitis; orphan designation",true,NCT02227147,"Two double-masked vehicle-controlled RCTs (REPARO n=156, NGF0214 n=48) both met their corneal-healing endpoints; pooled RR 1.84, NNT 3.","Stage as reported: marketed (EU approval 2017, FDA approval 2018); phase 3 programmes ongoing in PCED and NAION.",https://clinicaltrials.gov/study/NCT02227147
dubal_lab,klotho,preclinical,protein_injection,NHP,,2023,academic,true,,Single low-dose klotho injection improved aged-monkey cognition within hours,Castner 2023 Nat Aging; licensed to Jocasta Neuroscience,https://doi.org/10.1038/s43587-023-00441-x
eiger_biopharmaceuticals,lmna_abe_g608g,commercial,,,,,Lonafarnib (Zokinvy) approved for HGPS; expanded-access protocol NCT03895528,true,NCT03895528,Sells the only approved progeria drug — a farnesyltransferase inhibitor that blunts progerin toxicity rather than removing the mutation.,"Stage as reported: marketed (small molecule, not the edit).",https://clinicaltrials.gov/study/NCT03895528
emd_serono_research_development_institute_in,fgf18_cartilage,phase_2,intra-articular sprifermin,,,,investigational,true,NCT01919164,"Sponsor of FORWARD; also sponsored NCT01689337, terminated.",Stage as reported: Phase 2 sponsor of record for FORWARD and the terminated microfracture trial.,https://clinicaltrials.gov/study/NCT01689337
gallant_lab,epg_catfish,preclinical,,Electrophorus electricus,,2014,academic,true,,Led genome assembly and comparative transcriptomics across 3 electric fish lineages showing convergent gene regulatory networks.,,https://doi.org/10.1126/science.1254432
gorbunova_lab,has2_nmr,preclinical,transgenic,mouse,,2023,academic,true,,Mice overexpressing NMR HAS2 showed improved healthspan and reduced cancer; median lifespan increase,Zhang 2023 Nature; first transfer of NMR longevity mechanism to mice,https://doi.org/10.1038/s41586-023-06463-0
gracheva_lab,trpv1s_vampire_bat,preclinical,,Desmodus rotundus,,2011,academic,true,,Discovered TRPV1 alternative splicing producing TRPV1-S with ~30C activation threshold for infrared sensing in pit organ neurons.,,https://doi.org/10.1038/nature10245
hallet_lab,avlige_rotifer,preclinical,heterologous expression,Adineta vaga,,2023,academic,true,,Co-supervised LigE characterization including horizontal gene transfer origin and radiation tolerance function.,,https://doi.org/10.1038/s41467-023-43075-8
harvard_medical_school_david_a_sinclair_lab_,osk_partial_reprog,preclinical,,,,,,true,,Published the OSK partial-reprogramming vision-restoration result the ER-100 program is built on.,Stage as reported: preclinical (mouse).,https://doi.org/10.1038/s41586-020-2975-4
hashimoto_lab,dsup,preclinical,transfection,human_cells,,2016,academic,true,,Dsup protein in human cells reduced X-ray damage by ~40%; cells maintained proliferative ability,Hashimoto 2016 Nat Commun; also works in hamster cells,https://doi.org/10.1038/ncomms12808
hashimoto_lab,mahs_tardigrade,preclinical,transfection (GFP fusion),Ramazzottius varieornatus,,2015,academic,true,,Identified MAHS as novel mitochondrial heat-soluble protein; MAHS-GFP localized to human mitochondria and improved hyperosmotic tolerance.,,https://doi.org/10.1371/journal.pone.0118272
institute_of_endocrinology_metabolism_and_re,ghr_laron,preclinical,,,,,not a therapeutic program; natural human cohort study,true,,"Source of the diabetes-absence (0/90), insulin (1.4 vs 4.4 uU/ml), HOMA-IR (0.34 vs 0.96) and cancer-mortality (0% vs 20% of deaths) figures.","Stage as reported: observational human cohort, 22-year longitudinal monitoring.",https://doi.org/10.1126/scitranslmed.3001845
ionis_pharmaceuticals,apoc3_lof,commercial,"GalNAc-conjugated antisense oligonucleotide, monthly subcutaneous injection",,,,TRYNGOLZA (olezarsen sodium) approved under NDA 218614; label indicates it as an adjunct to diet to reduce triglycerides in adults with FCS and to reduce TG and risk of acute pancreatitis in severe hypertriglyceridemia (TG ≥500 mg/dL),true,NCT04568434,Sells the apoC-III knockdown today; the FDA label names it an apolipoprotein C-III-directed antisense oligonucleotide.,Stage as reported: marketed.,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22olezarsen%22
isner_group,vegf_therapy,phase_1,plasmid_intramuscular,human,,1998,academic,true,,Collateral artery growth; ABI rose 0.33→0.48; limb salvage in 3 patients facing amputation,Isner 1998 Lancet; pioneer of therapeutic angiogenesis,https://doi.org/10.1016/S0140-6736(98)03547-0
jimi_biotech,s100a10_deer,preclinical,cell therapy,Homo sapiens,,2023,academic,false,,Developing antler-derived progenitor cell therapies for bone regeneration.,,https://doi.org/10.1126/science.adf7580
jimi_biotech,uhrf1_deer,preclinical,cell therapy,Homo sapiens,,2023,academic,false,,Developing antler-derived progenitor cell therapies for bone regeneration.,,https://doi.org/10.1126/science.adf7580
jocasta_neuro,klotho,preclinical,protein_subcutaneous,human,,2024,fda_ind_planned,false,,$35M Series A (Aug 2025); IND submission planned Q4 2026; Phase 1 SAD/MAD to follow,Licensed from UCSF (Dubal Lab); recombinant alpha-Klotho protein (JN-0413),https://www.biospace.com/press-releases/jocasta-neuroscience-lands-35-million-series-a-to-advance-longevity-protein-program-for-managing-cognitive-impairment
julius_lab,trpv1s_vampire_bat,preclinical,,Desmodus rotundus,,2011,academic,true,,Co-authored vampire bat TRPV1 splicing paper. David Julius received Nobel Prize 2021 for TRPV1 discovery.,,https://doi.org/10.1038/nature10245
kinoshita_lab,fth1b_shark,preclinical,,Somniosus microcephalus,,2016,academic,true,,Identified expanded ferritin heavy chain in Greenland shark correlating with low labile iron and oxidative damage.,,https://doi.org/10.1126/science.aaj2220
kinoshita_lab,h1f0_shark,preclinical,,Somniosus microcephalus,,2016,academic,true,,Greenland shark genomic analysis identifying H1F0 histone variants associated with extreme vertebrate longevity.,,https://doi.org/10.1126/science.aaj2220
klothea_bio,klotho,phase_1b,mRNA_iv,human,,2026,registered_trial,false,,Phase 1b at GARM Clinic: 21 participants randomized 2:1 double-blind placebo-controlled; launched Feb 2026,mRNA therapeutic (not gene therapy); two IV administrations ~4 weeks apart,https://www.biospace.com/press-releases/klothea-bio-announces-the-launch-of-a-phase-1b-clinical-trial-of-akl003-an-alpha-klotho-mrna-therapeutic-for-the-extension-of-human-lifespan
klotho_neuro,klotho,preclinical,AAV,human,,2025,fda_orphan_drug,false,,Master Cell Bank completed Jul 2026; FDA talks expected 4-6 months; human trial potentially Q3 2026,KLTO-202: unique RNA splice variant of alpha-Klotho; targeting ALS (orphan drug designation),https://alsnewstoday.com/news/als-gene-therapy-klto-202-advances-manufacturing-phase/
kollodis_biosciences_inc,mefp5_mussel,commercial,aqueous coating solution or lyophilised powder,,,,research-use reagent; not an approved drug or device,true,,"MAPTrix products are resold through Sigma-Aldrich and AMSBIO; supplier datasheets list a ~24,000 Da recombinant MAP supplied at 0.2, 0.5 or 1.0 mg/mL aqueous solution.",Stage as reported: on sale as research reagents.,https://www.sigmaaldrich.com/US/en/product/sigma/161052k
kuro_o_lab,klotho,preclinical,transgenic,mouse,,1997,academic,true,,Klotho-KO: premature aging; Klotho-OE: +19-30% median lifespan; but hyperinsulinemia and reduced female fecundity,Original Klotho discovery (1997 Nature); overexpression (2005 Science),https://doi.org/10.1038/36285
kyoto_university_department_of_synthetic_che,rgy_pyrococcus,preclinical,,,,,,true,,Atomi 2004 J Bacteriol 186:4829-4833,Stage as reported: basic research.,https://doi.org/10.1128/jb.186.14.4829-4833.2004
kyoto_university_kitano_hospital_tazuke_kofu,sostdc1_usag1_tooth,preclinical,,,,,,true,,Science Advances 2021 mouse rescue and ferret third dentition.,Stage as reported: discovery and preclinical.,https://doi.org/10.1126/sciadv.abf1798
laboratory_of_animal_physiology_nagoya_unive,opn5_deep_brain,preclinical,,,,,,true,,Nakane 2010 PNAS,Stage as reported: basic research.,https://doi.org/10.1073/pnas.1006393107
laboratory_of_artificial_and_natural_evoluti,v2r_snake_vno,preclinical,,,,,,true,,Brykczynska 2013 Genome Biol Evol,Stage as reported: basic research.,https://doi.org/10.1093/gbe/evt013
lewin_lab_mdc,glut5_khk_nmr,preclinical,,Heterocephalus glaber,,2021,academic,true,,Contributed molecular biology of NMR metabolic adaptations at MDC Berlin.,,https://doi.org/10.1038/s41586-021-03837-8
libella_gene,tert,phase_1,AAV,human,1000000,2019,registered_trial,false,NCT04110964,Pay-to-participate Phase 1 in Colombia ($1M enrollment); no published efficacy results,Colombian IRB approval (30-45 day timeline); heavily criticized as pay-to-play,https://clinicaltrials.gov/study/NCT04110964
life_biosciences_inc,osk_partial_reprog,phase_1,"Modified AAV vector, single intravitreal injection to one eye; systemic doxycycline for 8 weeks (56 days) to activate OSK expression",,,,"Investigational; first-in-human Phase 1 dose escalation in open-angle glaucoma followed by dose expansion in NAION, 5-year follow-up",true,NCT07290244,"ER-100 delivers instructions for producing OCT4, SOX2 and KLF4 to retinal cells by AAV; the registry record states it does not alter the participant's existing genes. This is the OSK program of Lu 2020 taken into humans.","Stage as reported: Phase 1, first-in-human, recruiting.",https://clinicaltrials.gov/study/NCT07290244
longevity_institute_university_of_southern_c,ghr_laron,preclinical,,,,,no GHR-directed longevity drug in trials,true,,In vitro HMEC work and the pathway analysis underpinning the pro-aging-signalling interpretation.,Stage as reported: mechanistic / preclinical.,https://doi.org/10.1126/scitranslmed.3001845
lopez_otin_lab,xrcc5_roughy,preclinical,,Mus musculus,,2021,academic,true,,Established Ku80/XRCC5 as a longevity gene through knockout mouse accelerated aging studies. Hallmarks of aging framework.,,https://doi.org/10.1038/s41576-021-00337-5
mahmoud_lab,lrrc10_cardiac,preclinical,,Mus musculus,,2021,academic,true,,Demonstrated LRRC10-dependent cardiomyocyte proliferation in neonatal mouse heart regeneration.,,https://doi.org/10.1038/s41467-021-27389-1
max_planck_institute_for_biological_intellig,t1r1_t1r3_hummingbird,preclinical,,,,,,true,,Baldwin 2022 Mol Biol Evol,Stage as reported: basic research.,https://doi.org/10.1093/molbev/msab367
mcpherron_lab,mstn_ko,preclinical,knockout,mouse,,1997,academic,true,,Myostatin-null mice: doubled skeletal muscle mass; widespread hypermuscularity,McPherron 1997 Nature; led to natural LOF discoveries in cattle/dogs/humans,https://doi.org/10.1038/386083a0
memorial_sloan_kettering_cancer_center_scott,plaur_car_senolytic,preclinical,Adoptive transfer of CAR-engineered T cells,,,,,true,,Identified uPAR as a senescence surface antigen and built the anti-uPAR CAR; showed a single dose improves glucose tolerance and exercise capacity in 20-month-old mice.,"Stage as reported: preclinical (mouse, aged and HFD models).",https://doi.org/10.1038/s43587-023-00560-5
mendell_lab,fst344,phase_1_2,AAV1_intramuscular,human,,2012,fda_ind,true,,6 Becker MD patients: +58m mean 6MWT at 24mo; 6 IBM patients: +56m/yr vs -26m/yr; no SAEs,Landmark peer-reviewed FST gene therapy trials (Mol Ther 2015 and 2017),https://doi.org/10.1038/mt.2014.200
merck_kgaa,fgf18_cartilage,phase_2,"intra-articular recombinant human FGF-18 (sprifermin / AS902330), weekly injections over 3 weeks per cycle",,,,investigational; no approval anywhere,true,NCT01919164,"FORWARD (549 patients, 5 years) met its structural primary endpoint at 2 years (+0.05 mm cartilage thickness for 100 µg Q6M vs placebo) but not symptom endpoints.",Stage as reported: Phase 2 completed (FORWARD).,https://clinicaltrials.gov/study/NCT01919164
minicircle,fst344,commercial,plasmid_subcutaneous,human,25000,2020,unregulated,false,NCT06411366,~500 treated; company-reported epigenetic age reduction ~11yr; preprint only (criticized by Stanford's Mark Kay),Treatments at GARM Clinic (Prospera) and Eterna Health (Dubai),https://www.technologyreview.com/2023/02/13/1068330/minicircle-prospera-honduras-biohacking-follistatin-gene-therapy/
minicircle,klotho,phase_1,plasmid,human,,2025,registered_trial,false,NCT07285629,Klotho + follistatin combination therapy; Phase 1 trial registered Dec 2025,Dose-dependent serum alpha-klotho upregulation (company data),https://clinicaltrials.gov/study/NCT07285629
miserez_lab,suckerin_squid,preclinical,recombinant expression,Dosidicus gigas,,2014,academic,true,,Characterized suckerin proteins self-assembling into ultra-hard nanocomposites achieving 5 GPa hardness from purely organic material.,,https://doi.org/10.1021/nn501124j
monell_chemical_senses_center,t1r1_t1r3_hummingbird,preclinical,,,,,,true,,Baldwin 2014 Science; Baldwin 2022 Mol Biol Evol,Stage as reported: basic research.,https://doi.org/10.1126/science.1255097
murad_lab,gaafp_glaciozyma,preclinical,recombinant expression (E. coli),Glaciozyma antarctica,,2012,academic,true,,First characterization of Afp1 antifreeze protein from G. antarctica PI12 with thermal hysteresis and IRI activity.,,https://doi.org/10.1007/s00792-012-0494-4
musilova_lab,rh1_spinyfin,preclinical,,Diretmus argenteus,,2019,academic,true,,Discovered 38 rod opsins in spinyfin including 14 expressed RH1s and the most blue-shifted rod photopigment known (~444 nm).,,https://doi.org/10.1126/science.aav4632
musunuru_lab,pcsk9_edit,preclinical,base_editing,NHP,,2021,academic,true,,Single infusion of adenine base editor reduced PCSK9 and LDL-C by ~60% in NHP; durable at 8 months,Musunuru 2021 Nature; foundational for Verve Therapeutics clinical program,https://doi.org/10.1038/s41586-021-03534-y
national_human_genome_research_institute_nih,lmna_abe_g608g,preclinical,,,,,,true,,Co-led the in vivo mouse arm; supplied the LMNA G608G transgenic HGPS model.,Stage as reported: preclinical (mouse).,https://doi.org/10.1038/s41586-020-03086-7
newamsterdam_pharma_obicetrapib,cetp_lof,preclinical,oral small molecule,,,,investigational,true,,"Retrieved as literature metadata only (10.1016/j.ajpc.2026.101532, 10.1016/j.jlr.2026.101029) — not read in full; no numbers from these are used in this record.",Stage as reported: late-stage clinical (pharmacological CETP inhibition).,https://doi.org/10.1016/j.jlr.2026.101029
nordic_bioscience_a_s,fgf18_cartilage,preclinical,,,,,,true,,Collaborator on FORWARD; quantitative MRI cartilage-thickness methodology.,Stage as reported: trial collaborator / biomarker and imaging analysis.,https://clinicaltrials.gov/study/NCT01919164
north_carolina_state_university_department_o,sor_pyrococcus,preclinical,,,,,,true,,Im 2009 Plant Physiol; Geng 2016 Front Plant Sci 7:26,Stage as reported: preclinical / crop research.,https://doi.org/10.3389/fpls.2016.00026
novartis_pharmaceuticals,atoh1_gfi1_pou4f3_haircell,phase_1_2,intralabyrinthine adenovector (CGF166) encoding human ATOH1,,,,investigational; no approval,true,NCT02132130,"22 patients enrolled, 19 completed; posted Week-52 pure-tone audiometry showed no restoration of hearing in treated ears.","Stage as reported: Phase 1/2 completed, program discontinued.",https://clinicaltrials.gov/study/NCT02132130
okada_lab,csmg_snail,preclinical,,Chrysomallon squamiferum,,2019,academic,true,,Demonstrated biologically controlled iron sulfide nanoparticle formation at ~15C with implications for industrial nanoparticle production.,,https://doi.org/10.1073/pnas.1908533116
paratus_sciences,asc2_bat,preclinical,small molecule / biologic,Homo sapiens,,2023,academic,false,,Licensed bat ASC2 IP from Duke-NUS. Lead compound PS-1001 targets inflammasome assembly. $100M Series A.,,https://paratussciences.com/
park_lab_uic,glut5_khk_nmr,preclinical,,Heterocephalus glaber,,2021,academic,true,,Characterized naked mole-rat fructose metabolism pathway alterations conferring metabolic disease resistance.,,https://doi.org/10.1038/s41586-021-03837-8
pfizer_khk,glut5_khk_nmr,phase_2,small molecule (PF-06835919),Homo sapiens,,2017,registered_trial,true,NCT03256526,KHK inhibitor PF-06835919 reached Phase 2 for NASH. Reduces hepatic fructose metabolism and de novo lipogenesis.,Independent of NMR research but validates same target.,https://clinicaltrials.gov/ct2/show/NCT03256526
progeria_research_foundation,lmna_abe_g608g,preclinical,,,,,,true,,Source of the HGADFN167 and HGADFN188 patient fibroblast lines used for the 87–91% correction result.,Stage as reported: patient registry / cell bank.,https://doi.org/10.1038/s41586-020-03086-7
purdue_university_department_of_biological_s,acr3_pteris,preclinical,,,,,,true,,RNAi knockdown of ACR3 in P. vittata gametophytes gives an arsenite-sensitive phenotype; the fern tolerates >1% of dry weight as arsenic.,Stage as reported: basic research.,https://doi.org/10.1105/tpc.109.069773
regeneron_genetics_center,slc30a8_ko,preclinical,,,,,,true,,Sequencing partner on the Pakistan Genome Resource knockout analysis.,Stage as reported: target validation.,https://doi.org/10.1007/s00125-025-06530-3
regeneron_pharmaceuticals,angptl3_base_edit,phase_1,intravenous or subcutaneous antibody; siRNA,,,,evinacumab is FDA-approved for HoFH,true,NCT03452228,"Dewey 2017 reports evinacumab caused a dose-dependent placebo-adjusted reduction in fasting triglyceride levels of up to 76% and LDL cholesterol levels of up to 23% in 83 healthy volunteers — pharmacological, not genetic.",Stage as reported: approved (evinacumab) / Phase 1-2 (ALN-ANG3).,https://clinicaltrials.gov/study/NCT03452228
rejuvenate_bio,fgf21_stgfbr2,pilot,AAV,dog,,2023,academic,false,,17 Cavalier King Charles Spaniels treated at Tufts; durable gene expression; favorable safety; delayed MMVD progression,Funded by American CKCS Club; results presented at conferences not yet in major journals,https://longevity.technology/news/rejuvenate-bio-presents-promising-results-of-gene-therapy-in-dogs/
salzburger_lab,rh1_spinyfin,preclinical,,Diretmus argenteus,,2019,academic,true,,Co-led multi-species genomic comparison (101 fish genomes) revealing convergent RH1 expansions via single-gene duplications.,,https://doi.org/10.1126/science.aav4632
shimizu_lab,glassin_sponge,preclinical,recombinant expression,Euplectella aspergillum,,2013,academic,true,,Discovered glassin protein and demonstrated room-temperature biosilicification from dissolved silicic acid.,,https://doi.org/10.1002/ange.201307879
southern_illinois_university_carbondale_depa,scaldh21_moss,preclinical,,,,,,true,,Co-author on Yang 2016 Mol Breeding and Yang 2019 Crop Science cotton studies,Stage as reported: basic research.,https://doi.org/10.1016/j.plaphy.2015.07.001
sussman_lab,epg_catfish,preclinical,,Electrophorus electricus,,2014,academic,true,,Co-led 2014 Science electric organ convergence paper. Pursues synthetic biology approaches to engineer electrocytes.,,https://doi.org/10.1126/science.1254432
tandem_repeat,suckerin_squid,preclinical,recombinant protein materials,,,2016,academic,true,,"Commercializing squid-inspired tandem repeat protein materials for coatings, adhesives, and biomedical applications.",,https://www.tandemrepeat.com/
toregem_biopharma_co_ltd,sostdc1_usag1_tooth,phase_2,systemic (intravenous) humanised monoclonal antibody,,,,"Orphan Medicinal Product designation, Japan MHLW, for severe congenital hypodontia/oligodontia; AMED-funded",true,,Preclinical: single systemic antibody dose generated whole teeth in mice and a third-dentition incisor in ferrets. TRG035 is the humanised clinical candidate; the developers state a Phase 1 protocol framework was finalised and Phase 1 is underway in Japan.,Stage as reported: Phase 1 (Japan) in healthy adults; Phase 2 in congenital tooth agenesis in preparation.,https://toregem.co.jp/en/
university_of_alabama_department_of_biologic,hsp104_potentiated,preclinical,,,,,,true,,C. elegans PD model data in Jackrel 2014 Cell,,https://doi.org/10.1016/j.cell.2013.11.047
university_of_california_berkeley_lawrence_b,pr_marine_photoheterotroph,preclinical,,,,,,true,,"11% survival of PR+retinal cells vs 1% for retinal-only and zero colonies for retinal-free, after 30 mM azide for 30 min in sunlight.",Stage as reported: basic research.,https://doi.org/10.1073/pnas.0611035104
university_of_georgia_department_of_biochemi,rgy_pyrococcus,preclinical,,,,,,true,,Lipscomb 2017 Extremophiles,Stage as reported: basic research.,https://doi.org/10.1007/s00792-017-0929-z
university_of_georgia_department_of_biochemi,sor_pyrococcus,preclinical,,,,,,true,,Jenney 1999 Science 286:306-309,Stage as reported: basic research.,https://doi.org/10.1126/science.286.5438.306
university_of_oslo_department_of_biosciences,pdc_adh8a_carp,preclinical,,,,,,true,,Fagernes 2017 Sci Rep 7:7884,Stage as reported: basic research.,https://doi.org/10.1038/s41598-017-07385-4
university_of_pennsylvania_perelman_school_o,hsp104_potentiated,preclinical,,,,,,true,,Jackrel 2014 Cell 156:170-182; Jackrel 2014 Dis Model Mech 7:1175-1184,Stage as reported: preclinical (invertebrate models).,https://doi.org/10.1016/j.cell.2013.11.047
university_of_rochester_gorbunova_seluanov_l,sirt6_cent_variant,preclinical,,,,,,true,,"Identified centSIRT6 enrichment in Ashkenazi centenarians and characterised its enzymology, LINE1 suppression, DSB repair and LMNA interaction.",Stage as reported: preclinical (human cells).,https://doi.org/10.15252/embj.2021110393
university_of_tulsa_toomey_lab,cyp2j19_bdh1l_keto,preclinical,,,,,none,true,,Retrieved as metadata only in this session.,Stage as reported: basic research.,https://doi.org/10.1016/j.cub.2022.08.013
