gene_id,Gene,Category,Subcategory,Narrative,Short Description,Mechanism,Achievements (effect sizes),Highest Evidence Tier,Confidence,Translational Gaps,Key References (DOIs),"Notes (limitations, contradictions, caveats)",Secondary Categories
epas1_tibetan,EPAS1 (Tibetan/Denisovan),Environmental Adaptation,High-Altitude Hypoxia,"Tibetans live above 13,000 feet without the thick-blood sickness that plagues lowlanders who move to altitude. The cause is one of the most spectacular finds in human genetics: a 32-kilobase chunk of DNA, carrying the hypoxia-sensor gene EPAS1, that Tibetans inherited from Denisovans — an extinct hominin known only from a finger bone in a Siberian cave. The variant dampens EPAS1's response to low oxygen, so red blood cell counts stay safe instead of spiraling up. Tibetans with the adaptive version carry about 0.8 g/dL less hemoglobin at 4,200 meters. Knocking out the equivalent enhancer in human endothelial cells and in mice reproduces the blunted response. The same locus is a double-edged sword: gain-of-function mutations nearby cause Pacak-Zhuang syndrome (runaway blood production plus tumors), and Andean highlanders achieved a similar outcome through a completely different mutation — a textbook case of evolution finding two roads to the same summit.","The Tibetan EPAS1 variant helps people live at high altitude without over-thickening their blood. It is a beautiful human evolution story, but nearby changes in the same oxygen-sensing pathway can also drive dangerous blood and tumor disorders.","Noncoding cis-regulatory hypomorph blunts hypoxic HIF-2α induction → lower EPO → lower Hb, lower pulmonary artery pressure, chronic-mountain-sickness protection.","Huerta-Sánchez 2014 Nature: 32.7-kb Tibetan haplotype exact match to Altai Denisovan (D-stat p=0.006); absent in non-East-Asian 1000G; adaptive frequency 72–87% vs 2–9% Han. Beall 2010 PNAS: ~0.8 g/dL Hb reduction in adaptive homozygotes at 4,200 m. Peng 2017 MBE: ~2.87% Hb variance per SNP; Epas1+/− mice phenocopy blunted Hb and reduced PA pressure. Gray 2022 Sci Adv: CRISPR deletion of ENH5 enhancer in human endothelial and cardiomyocyte cells + mice recapitulates blunted hypoxic EPAS1.",T7 (population genetics) + T6 (CRISPR human cells) + T5 (KO/enhancer-KO mice),High (population signal + direction); Medium (single causal variant unmapped),Tibetan-allele knock-in mouse; low-altitude healthspan data; clinical trial of belzutifan-like HIF-2α inhibitors for chronic mountain sickness (underway).,Huerta-Sánchez Nature 2014 https://doi.org/10.1038/nature13408 | Beall PNAS 2010 https://doi.org/10.1073/pnas.1002443107 | Peng MBE 2017 https://doi.org/10.1093/molbev/msx194 | Gray Sci Adv 2022 https://doi.org/10.1126/sciadv.abn7342 | Zhuang NEJM 2012 https://doi.org/10.1056/NEJMoa1205119,"BIDIRECTIONAL LOCUS: Gain-of-function missense mutations (A530S, Y532C etc. near Pro531) cause Pacak-Zhuang syndrome (erythrocytosis + paraganglioma + pheochromocytoma). Andeans achieve a similar phenotype via a CODING missense — convergent direction, divergent mechanism. All selected Tibetan SNPs noncoding; each ~2–3% Hb variance; no Tibetan-allele knock-in mouse yet.",
cahs_d,CAHS D,Stress Resistance,Desiccation,"Tardigrades can dry out completely, sit in a dusty drawer for years, and revive in a drop of water. The CAHS proteins are a big part of that trick. When water leaves the cell, CAHS D doesn't just stabilize molecules — it phase-separates into a glass-like mesh, freezing the cell's contents in place until rehydration. University of Wyoming researchers expressed CAHS D in human HEK293 cells in 2022; under osmotic shock, the protein formed the predicted reversible fibers inside human cells, slowed their metabolism, and modestly improved survival. But the story has gotten complicated fast. Piszkiewicz 2019 showed that plenty of unrelated proteins protect enzymes from drying just as well. Ramirez 2023 found that CAHS D doesn't actually hold onto water in the dry state, refuting a popular model. Non-gelling variants sometimes protect better than gelling ones. The protein is real and does something; nobody quite agrees on what.","CAHS D is a tardigrade protein that helps cells cope with drying-like stress by forming reversible protective structures. It works modestly in human cells under lab stress, but true mammalian drying survival remains far beyond current evidence.",Intrinsically disordered tardigrade-specific protein; reversible concentration/temperature-dependent gel/fibril networks; molecular shield against desiccation-induced unfolding.,"Boothby 2017 Mol Cell: yeast expressing CAHS D ~100× increased desiccation survival; E. coli also protected; RNAi of CAHS in tardigrades reduced post-desiccation survival. In vitro: protects LDH, lipoprotein lipase. Tanaka 2022 PLOS Biol (HEp-2, HEK293T): CAHS 1/3/8/12 form reversible filaments under hyperosmotic stress, stiffen cells (AFM), and modestly improve survival. Sanchez-Martinez 2024 Protein Sci (HEK293): CAHS D fibers slow metabolism and improve survival after 0.5 M sorbitol shock. Gel point ~8–20 g/L.","T6 (HEK293, HEp-2, HeLa) + T3 (yeast/E. coli)","High (yeast/in vitro); Medium (human cell protection is modest, osmotic-shock-specific, not true drying)","Stable long-term mammalian desiccation survival not shown; no mouse data; Esterly 2020 showed only safety in mice, not efficacy.",Yamaguchi PLoS ONE 2012 https://doi.org/10.1371/journal.pone.0044209 | Boothby Mol Cell 2017 https://doi.org/10.1016/j.molcel.2017.02.018 | Piszkiewicz Protein Sci 2019 https://doi.org/10.1002/pro.3604 | Tanaka PLoS Biol 2022 https://doi.org/10.1371/journal.pbio.3001780,"CONTRADICTIONS: (1) Piszkiewicz 2019 — many unrelated globular/disordered proteins protect LDH similarly, CAHS specificity challenged. (2) Ramirez 2023 — CAHS D does NOT retain water in dry state, refutes water-replacement/retention model. (3) Gel-vs-protection mechanism contested: Sanchez-Martinez 2024 shows non-gelling variants protect citrate synthase BETTER than gelling WT. (4) Tanaka 2023 reply — GFP-only controls also form mesh in drying tardigrades; ""filaments"" may not be CAHS-specific in vivo. Non-physiological overexpression; modest mammalian-cell effects.",
ppri_ppra,PprI (IrrE) / PprA,Stress Resistance,Radioresistance,"Deinococcus radiodurans survives 5,000 Gy — roughly a thousand times the lethal human dose. It does this by letting its genome shatter and then stitching it back together in hours, a feat coordinated by a single master-switch protein called PprI (or IrrE). When Chinese researchers gave human umbilical vein cells a shot of recombinant PprI before hitting them with 4 Gy of gamma rays, DNA damage markers dropped by about half. Mice treated with PprI before a 6 Gy whole-body dose had their 30-day mortality fall from 50% to 20%, with better blood counts and less organ damage. It's one of the cleanest demonstrations of bacterial radioresistance machinery working in a mammal. The caution is that this was essentially one paper from one lab, not independently replicated; the protein is bacterial (likely immunogenic); and the full Deinococcus resistance phenotype depends on manganese chemistry, not any single gene.","Deinococcus uses PprI and related repair systems to survive radiation levels that would destroy most life. A few mouse and human-cell studies suggest PprI can reduce radiation damage, but the result needs independent replication and safer delivery ideas.","PprI/IrrE: Mn-dependent zinc metalloprotease; cleaves repressor DdrO to derepress RecA, PprA, SSB; induces antioxidants (catalases). PprA: Deinococcus-specific DNA-end/nick-binding; stimulates ligase, interacts with gyrase/topo-IB.","Gao 2003 DNA Repair: IrrE in E. coli → ~1.6× γ-IR survival at 50/100 Gy; upregulated RecA, KatG. Pan 2009 PLoS ONE: IrrE → salt/oxidative/thermal tolerance in E. coli and Brassica. Shi 2016 Sci Rep: HUVECs (human cells) pretreated with 4 μg/mL Pichia-produced PprI + 4 Gy γ: D0 1.58→1.66 Gy, Dq 0.99→1.54 (larger shoulder); ~50% γH2AX foci reduction at 1–8 h; reduced apoptosis; ↑RAD51. SAME PAPER, BALB/c mice, 6 Gy TBI + PprI 100 μg/kg IP: 30-day mortality 50%→20% (5/10 → 2/10); improved WBC/platelets; reduced lung fibrosis, hepatic/renal damage. Zhang 2017: plasmid-pprI in-vivo electroporation in mice pre-6 Gy also reduced mortality +30%.","T5 (PprI mouse, single lab) + T6 (HUVECs)",Medium (one-lab mouse data; moderate effect; not independently replicated),Independent replication; long-term safety; humanized/PEGylated protein or mRNA delivery.,Gao DNA Repair 2003 https://doi.org/10.1016/S1568-7864(03)00142-8 | Pan PLoS ONE 2009 https://doi.org/10.1371/journal.pone.0004422 | Shi Sci Rep 2016 https://doi.org/10.1038/srep29220 | Zhang 2017 (oncotarget) https://doi.org/10.18632/oncotarget.13893,"Deinococcus-specific DdrO substrate is ABSENT in mammals — mechanism in human cells is indirect (antioxidants + RAD51). E. coli gain only 1.6× (vs ~1000× Deinococcus native resistance). Daly's work shows Deinococcus resistance is primarily Mn-peptide proteome protection, not PprI/PprA alone. Bolus protein dosing not translation-ready; bacterial-protein immunogenicity. PprA has no robust standalone mammalian in-vivo evidence.",
melanin_pathway,Melanin (radiotrophic),Stress Resistance,Radiotrophic Melanin,"In the aftermath of Chernobyl, biologists found fungi growing directly on the ruined reactor walls. These black fungi, rich in melanin, seemed not just to tolerate gamma radiation but to thrive in it. Ekaterina Dadachova's 2007 paper proposed radiosynthesis — fungi literally eating radiation the way plants eat sunlight. A 2020 ISS experiment found Cladosporium grew 21% faster in orbit and blocked a small fraction of cosmic radiation. Tyrosinase-transfected hamster cells make their own melanin and resist gamma rays and UVA (though they become more sensitive to UVC). The radiotrophy claim, however, remains contested: critics argue that passive shielding plus oxidative-stress relief explains the observations without invoking a new form of metabolism. Melanin definitely absorbs radiation and scavenges free radicals — both well-established. Whether it does anything more exotic than that, decades later, still isn't settled. And melanized human melanomas are stubbornly radioresistant, which is an unhappy reminder of the double-edge.","Melanized fungi from extreme environments can absorb radiation and neutralize damaging chemistry, which may explain part of their toughness. The more exotic idea that they harvest radiation like food is still debated, and melanin can also make tumors harder to treat.","Melanin polymer; proposed ""radiosynthesis"" via IR-induced electronic-property changes (contested); well-established passive shielding + ROS scavenging.","Dadachova 2007 PLoS ONE: melanized fungi at ~500× background IR grew faster than controls; ESR signal shifts; ~3× 14C-acetate incorporation; ~4× increase in NADH reduction capacity. Averesch/Shunk 2022 Front Microbiol: ISS experiment; Cladosporium fungal lawn ~1.7 mm thick attenuated ionizing radiation ~2.17% ± 0.25%; growth rate 1.21× ground; 21 cm extrapolated Mars shielding. Kaur/Hill 2001: tyrosinase pcTYR transfected CHOK1 cells produced eumelanin; resistant to 137Cs γ-ray + UVA killing; MORE SENSITIVE to UVC. Schweitzer 2010, Kunwar 2012, Rageh 2015: melanin nanoparticles (IP/IV) in BALB/c mice pre/post 7 Gy → reduced hematotoxicity, organ damage — EXOGENOUS delivery, not biosynthesis.",T3 (heterologous tyrosinase in CHO) + T4/T5 for exogenous nanoparticles,"High (passive ROS/shielding); Low (radiosynthesis hypothesis); Medium (tyrosinase-CHO, single study)",Full DHN-melanin pathway in mammalian cells; transgenic animal; clinical trials.,Dadachova PLoS ONE 2007 https://doi.org/10.1371/journal.pone.0000457 | Averesch Front Microbiol 2022 https://doi.org/10.3389/fmicb.2022.877625,"RADIOTROPHY HYPOTHESIS CONTESTED: Walberg 2017 thesis and multiple reviews attribute observations to passive shielding + oxidative stress relief; Averesch 2022 softened to ""radioadaptive."" CONTRADICTION: Hopwood 1985 — exogenous melanin loaded endocytically into CHO gave NO radioprotection, contradicts Kaur 2001. Melanotic human melanomas are radioresistant (clinical double-edged sword). Kaur/Hill showed UVC INCREASED sensitivity (wavelength-specific). Not a single gene — requires copper/TRP1/TRP2/melanosome machinery.",
tp53_rtg9,TP53-RTG9 (p53-R9),Longevity & Genome,Apoptosis Control,"Elephants don't just have extra copies of the TP53 tumor-suppressor gene — they have about twenty weird, truncated, mitochondria-bound variants called retrogenes. The most active one, p53-R9, doesn't go into the nucleus to regulate genes like normal p53. It lodges on the mitochondrial outer membrane and directly activates Bax, triggering suicide from the outside-in. In 2023, Lisa Abegglen's lab put p53-R9 into several human cancer cell lines — including ones missing their own p53 — and watched them commit apoptosis by a mechanism that didn't require any transcription at all. Think of it as a molecular ejector seat that doesn't need the cockpit controls to work. It's a genuinely novel cell-death pathway with obvious cancer-therapy appeal. The limits: everything was done in cancer cell lines rather than normal primary cells, and the original Abegglen 2015 claim that elephant p53 binds MDM2 couldn't be replicated in the 2023 paper.","Elephant p53-R9 is a stripped-down TP53 retrogene that can push damaged cancer cells into self-destruction through mitochondria. It is exciting as a cancer-cell killing mechanism, but it has not yet been tested in normal tissues or living animals.","180-aa truncated p53 retrogene lacking NLS/tetramerization; binds chaperone Tid1 → mitochondrial trafficking → binds Bax → cytochrome c release → caspase 3/7 apoptosis, INDEPENDENT of transcription.","Preston/Abegglen 2023 Cell Death Discovery: p53-R9 expressed in four TP53-null/mutant HUMAN cancer lines (U2OS, HCT116, SAOS-2, T98G, DLD1) → caspase-3/7 activation (p<0.01–0.0001 by Caspase-Glo + Incucyte); Z-VAD-FMK abolishes; pan-caspase-dependent Annexin-V. MitoTracker colocalization (p<0.0001); Tid1 siRNA abolishes localization. DLD1 BAX−/−;BAK−/− abolishes phenotype. Cytosolic cytochrome c release confirmed. No UPR artifact. Equivalent in magnitude to human/elephant p53 truncated mutants (V197*/V194*), weaker than full-length.",T6 (4 independent human cancer cell lines),High (transcription-independent mechanism in human cancer cells); Low (physiological elephant relevance — never tested in elephant cells),Primary (non-transformed) human cells; xenograft efficacy; delivery; toxicity in normal tissue; elephant cell validation (no tools).,Preston Cell Death Discov 2023 https://doi.org/10.1038/s41420-023-01413-1 | Sulak eLife 2016 https://doi.org/10.7554/eLife.11994,CONTRADICTS Abegglen 2015 on MDM2 co-IP — Preston could not pull down MDM2 with p53-R9 (W23G substitution disrupts binding). Bax-p53 interaction historically contested (Raffo 2000 vs Mihara 2003). Not independently replicated at time of writing. All work in cancer lines (TP53-null/mutant); no fold-increase reported systematically; weaker than full-length p53; never tested in elephant cells.,
greenland_shark_repair,Greenland shark DNA-repair network + p53 C-term insertion,Longevity & Genome,DNA-Repair Network,"Greenland sharks swim through Arctic depths for 272 to 392 years — some individuals were alive before the American Revolution. Julius Nielsen dated them by radiocarbon-dating their eye lenses in 2016, making them the longest-lived vertebrates known. In 2024, a preprint from Alessandro Cellerino's group reported a 6.45-Gb genome assembly: 81 duplicated genes enriched for DNA double-strand-break repair, three copies of RAD51, expanded NF-κB signaling, and a unique lysine insertion in the C-terminus of p53 that AlphaFold predicts would extend an alpha-helix. All of it, so far, is comparative genomics — no one has expressed the shark p53 variant in a cell, knocked it into a mouse, or done any functional assay whatsoever. The shark is essentially unculturable; you cannot easily get primary cells. It's the most tantalizing longevity genome we have, and simultaneously the one furthest from any experiment a lab could actually run next Tuesday.","Greenland sharks live for centuries, and their genome hints at expanded DNA-repair machinery that may support that longevity. For now this is mostly a map of clues, not a tested enhancement, because the shark genes have barely been functionally studied.",81 duplicated genes forming DSB-repair GO-enriched STRING network; RAD51 in 3 copies (one intronless retrotranspositional); NF2 duplication; unique lysine insertion in p53 HKKEKE C-terminal motif predicted (AlphaFold3) to extend helix.,"Sahm 2024 bioRxiv (preprint): 6.45 Gb chromosome-level assembly; 22,634 genes; statistical enrichment p=0.029 (network), FDR=0.002 with TP53. Nielsen 2016 Science: lens radiocarbon dating → minimum ages 272 y. Nothing else — all predictions purely computational; no functional assay on GLS p53 variant; no mouse knock-in; no heterologous cell test; no tissue culture possible.",T1 (genomic + in silico AlphaFold3 only),Low,Everything — expression/functional validation of GLS p53 variant; knock-in mouse; cell models.,Sahm bioRxiv 2024 https://doi.org/10.1101/2024.09.09.611499 | Nielsen Science 2016 https://doi.org/10.1126/science.aaf1703,"Preprint; no expression/functional validation; p53 CTD structural prediction is low-confidence; RAD51 overexpression is oncogenic in mammals. ""512-yr shark"" = upper 95.4% CI bound; measured floor is ~272 y.",
pot1_turritopsis,POT1 / SIRT3 / RTEL1 (immortal jellyfish),Regeneration,Telomere Protection,"Turritopsis dohrnii, a grape-sized jellyfish, can reverse its life cycle: a damaged adult collapses into a cyst and re-emerges as a juvenile polyp, resetting its biological age. It is the only animal known to do this reliably. In 2022, Carlos López-Otín's group sequenced its genome and identified a variant of POT1 — a human telomere-protection gene — predicted to release the brake on telomerase. When they put the G272N jellyfish mutation into the human POT1 protein, it bound telomeric DNA much less tightly in a test tube. That's the entire experimental result. No cell phenotype, no telomere-length measurement, no mammalian model. More worryingly, reduced POT1 binding in humans causes cancer — familial melanoma, leukemia, glioma. The paper has two formal Corrections and a published critique. Transdifferentiation is a whole-organism phenomenon; reducing it to a single shelterin variant is almost certainly too simple. The jellyfish is doing something astonishing, and nobody yet knows what.","The immortal jellyfish can reverse its life cycle, and its telomere-related genes are tempting suspects in that age-resetting trick. The tested POT1 change only weakened DNA binding in a lab assay, and similar changes in humans can raise cancer risk.",POT1 shelterin variant (G272N) predicted to reduce telomerase inhibition; SIRT3 mitoprotection; RTEL1 telomere helicase; GAR1 duplicated.,"Pascual-Torner 2022 PNAS: whole-genome T. dohrnii vs mortal T. rubra; identified expansions/variants. ONLY WET RESULT: introduced jellyfish-style G272N into recombinant human POT1, EMSA with 3×TTAGGG oligo → reduced ssDNA binding. No cell phenotype, no telomerase activity measured. Matsumoto/Miglietta 2025 bioRxiv: life-cycle-reversal transcriptome — SIRT3 peaks in cyst; RTEL1/HSP70/90 dynamic; POU/Sox/Klf/Myc detected. No functional tests. No gene editing in T. dohrnii; no mammalian transfer.",T2–T3 for POT1 biochemistry on human-backbone protein; T1 for everything else,Low-Medium (narrow biochem claim); Low (rejuvenation translation),T. dohrnii POT1 in mammalian cells; telomere-length/cell phenotype; transdifferentiation never recapitulated in a mammal.,Pascual-Torner PNAS 2022 https://doi.org/10.1073/pnas.2118763119,"MAJOR CAVEAT: reduced POT1–ssDNA binding in humans = CANCER PREDISPOSITION. POT1 loss-of-function causes familial melanoma, CLL, glioma, pulmonary fibrosis (L259S, H266L). Pascual-Torner 2022 has TWO formal PNAS Corrections + a published critique by Miglietta 2023 PNAS. Annotation reliability for non-model organisms questioned. Binding ≠ function; 3×TTAGGG oligo is a minimal substrate.",
smedwi,piwi / smedwi,Regeneration,Whole-Body Regrowth,"A planarian flatworm cut into two hundred pieces will regenerate into two hundred whole worms, each with a working brain. The engine of this feat is a population of adult stem cells called neoblasts, maintained by the smedwi genes — relatives of the germline PIWI family found across animals. Knocking down smedwi-2 or smedwi-3 with RNAi causes complete regeneration failure; the worm dissolves. In mammals, PIWI-family genes are confined to germ cells, and knocking out all of them gives mice no obvious somatic defect. When mammalian tumors accidentally switch PIWI on in their non-germline cells, it's uniformly bad news: colorectal, gastric, and pancreatic cancers all weaponize ectopic PIWI to drive proliferation and metastasis. Every time evolution has reached for this pathway outside the germline in mammals, it's been for cancer, not regeneration. The chasm between planarian pluripotency and human tissue repair is one of the deepest in enhancement biology.","Planarian smedwi genes help maintain stem cells that let flatworms regrow whole bodies from tiny fragments. Mammals use related PIWI genes mostly in germ cells, and when similar programs switch on in body tissues they often look more like cancer than regeneration.",PIWI–piRNA silencing of transposons; maintains pluripotent neoblasts.,"Reddien 2005 Science: smedwi-2 RNAi → complete regeneration failure, lysis ~d12. Palakodeti 2008: smedwi-3 RNAi → lysis ~d22; both needed for piRNA expression. Neoblasts = ~20% of adult cells, can regenerate whole animal from <1% tissue. Mammalian PIWI-likes (PIWIL1-4) are germline-restricted; triple-KO mice have NO somatic phenotype. Ectopic somatic PIWIL1 in cancer: CRC (Genovese 2019), gastric (Shi 2020 PNAS), PDAC (Li 2020 Nat Cell Biol) — ONCOGENIC (↑proliferation, migration, metastasis via piRNA-independent co-activator role). No published transfer of smedwi to mammalian cells for regeneration.",T1 (planarian LOF); T4–T6 for mammalian PIWIL ectopic expression but ONLY in oncogenic direction,High (planarian requirement); Low (mammalian regeneration transfer),Whole-body regeneration gap never bridged in mammals. Single-gene transfer cannot reconstitute piRNA biogenesis apparatus.,Reddien Science 2005 https://doi.org/10.1126/science.1116110 | Palakodeti RNA 2008 https://doi.org/10.1261/rna.117408,"CRITICAL TRANSLATION BARRIER: Every mammalian somatic PIWIL gain-of-function published to date is ONCOGENIC, not regenerative. Triple PIWI-KO mice normal → not rate-limiting in soma. Mammalian soma deliberately lacks this pathway. No mammalian regeneration precedent.",
lin28a,Lin28a,Regeneration,Tissue Regrowth,"Axolotls regrow entire limbs. Mice don't, but in 2013 George Daley's lab showed you can move the needle: activating Lin28a — an RNA-binding protein that flips cells into an embryonic-style metabolic gear — roughly doubled the speed at which young mice closed a 2-millimeter ear-punch hole, and modestly improved digit-tip regrowth in neonates. The mechanism is bioenergetic: Lin28a blocks the let-7 microRNA and directly boosts translation of glucose-metabolism and mitochondrial-respiration enzymes, essentially resetting the cell to its youthful fuel-burn profile. LIN28 is also one of the four factors in James Thomson's original recipe for reprogramming human cells into induced pluripotent stem cells. The limit: the regeneration boost largely fades with age. Adult mice don't regrow digits or hearts no matter how much Lin28a you give them. And because Lin28 suppresses let-7, which otherwise tamps down oncogenes like Myc and Hmga2, the cancer risk is a real concern.","Lin28a can push cells toward a younger, growth-ready state and helped young mice heal ear and digit injuries faster. Its regenerative boost fades in adult tissues, and the same pathway can loosen restraints on cancer-linked genes.","RNA-binding protein blocks let-7 miRNA biogenesis + directly enhances translation of glycolysis/OxPhos enzymes (PFKP, PDHA1/B, SDHA) → embryonic-like bioenergetics.","Shyh-Chang/Daley 2013 Cell: iLin28a-Tg mice (inducible, leaky) — accelerated telogen→anagen hair; 2-mm ear hole closure ~2× faster at d5/8/11; enhanced digit regrowth in NEONATES ONLY (not adults); no heart regeneration. let-7 repression alone necessary but insufficient; OxPhos inhibition abrogates; activators partially phenocopy. Zhu 2010: Tg Lin28a → ↑body size, delayed puberty. Yu 2007 Science: LIN28 is one of 4 Thomson-cocktail factors for human iPSC generation.","T5 (whole mouse, repair enhancement in young) + T6 (iPSC factor in human cells)",High (young-mouse repair); Low (adult limb/organ regeneration),Axolotl-like adult limb/organ regeneration not recapitulated. Oncogenicity concern (Hmga2/Myc de-repression via let-7 suppression).,Shyh-Chang Cell 2013 https://doi.org/10.1016/j.cell.2013.09.059 | Zhu Nat Genet 2010 https://doi.org/10.1038/ng.592 | Yu Science 2007 https://doi.org/10.1126/science.1151526,"Adult digit regeneration does NOT improve. Lin28b dominant in some tissues (kidney, Yermalovich 2019). Lin28 is oncogenic in multiple cancers. Effects largely juvenile; adult digit/limb/heart not regenerated; leaky Tg complicates dose-response; Lin28a-KO is lethal/sterile.",
sting_bat,STING S358 (MdSTING),Environmental Adaptation,Viral Tolerance,"Bats coexist with Ebola, SARS, and Nipah without dying of any of them — a trick that depends on running their immune systems differently. Every bat species examined has a single critical substitution in its STING protein (the S358 residue becomes something else), and this dulls the screaming cytokine response that kills humans infected with these viruses. When Lin-Fa Wang's group in 2018 reverted the bat residue back to human S358 in bat cells, the full interferon blowtorch switched back on. In 2024, Yu-Ping Xiao's team made the first knock-in mouse carrying the bat MdSTING variant; aged female mice (not males — nobody knows why yet) had less inflammation and less tissue damage than wild-type littermates. Lifespan wasn't measured, cohorts were small, and STING also helps suppress tumors, so dampening it has an obvious downside. But as a target for inflammaging — the chronic low-grade inflammation that drives aging — it's one of the cleanest leads in the field.","Bats carry a softened version of STING that may help them avoid the runaway inflammation that makes many viral infections deadly. A bat-like mouse variant reduced some age-linked inflammation, but it may also weaken tumor surveillance or antiviral defenses.",Bat STING lacks canonical S358 TBK1-phosphorylation site (30/30 bat species tested); dampens IRF3 docking and type-I IFN induction.,"Xie 2018 Cell Host Microbe: R. sinicus STING X358S revertant in HEK293T → significantly restored IFN-β luciferase (multi-fold) and ISG/HSV-1 activity; human STING S358A reduces IFN-β. Consistent in PakiT03 bat cell line. Wang/Zhou 2024 Zool Res: FIRST MdSTING knock-in C57BL/6 mice; splenocytes dampened IFN to cGAMP; 3-year longitudinal blood transcriptomics: aged FEMALE (not male) MdSTING-KI mice had lower pro-inflammatory cytokines/chemokines, less immunopathology, less neutrophil recruitment vs WT; cohort small (n=5–9); no lifespan endpoint reported.","T5 (knock-in mouse, 2024) + T6 (HEK293 mutagenesis, 2018)","High (mechanism); Medium (aging phenotype, female-only, small cohort); Low-Medium (human)",Survival data; primary human immune-cell studies; no human genetics linking hypomorphic STING to longevity (HAQ/AQ/R232H have complex context-dependent effects).,Xie Cell Host Microbe 2018 https://doi.org/10.1016/j.chom.2018.01.006 | Wang Zool Res 2024 https://doi.org/10.24272/j.issn.2095-8137.2024.030,"Sex-dependent effect unexplained; dampened ≠ abolished; STING has anti-tumor surveillance role — tradeoff untested. Constitutive IFN-α in P. alecto coexists with dampened STING (Zhou 2016) — rebalanced, not simply suppressed, system not recapitulable via S358 alone.",
mb_seal,MB (myoglobin) + GSH system,Stress Resistance,Diving Oxidative Stress,"A Weddell seal can dive 900 meters and stay down for over an hour on one breath. The two main tricks are ten times more oxygen-binding myoglobin in its muscles than a terrestrial mammal, and roughly twenty-five times more glutathione in its heart to mop up the oxidative damage when breathing resumes. How it gets away with so much myoglobin without the protein aggregating (which kills muscle cells at normal densities) is fascinating molecular engineering: seal myoglobin carries extra positive surface charges that repel each other, keeping the protein soluble at extreme concentrations. Beyond that, the story is almost entirely comparative biology. No one has yet put seal myoglobin into mouse muscle cells and measured anything. The seal's myoblasts in culture need both low oxygen and a fat-rich medium to upregulate myoglobin — which suggests the whole diving phenotype is wired to marine-mammal physiology in ways no single-gene transfer will replicate.","Weddell seals store huge amounts of oxygen in muscle using myoglobin that stays soluble at extreme concentrations. The diving phenotype depends on whole-body physiology, so seal myoglobin alone is not yet a proven upgrade for mammalian cells.","High skeletal Mb (~54 g/kg, 5–10× terrestrial); elevated net surface charge ZMb (+2 to +5) prevents Mb self-aggregation at high concentration; glutathione antioxidant buffering post-dive I/R ROS; miRNA-level hypoxia pathway remodeling.",Mirceta 2013 Science: ancestral reconstruction across 130 mammals — ZMb correlates exponentially with max [Mb]; recombinant ancestral-vs-modern Mbs confirm aggregation resistance. De Miranda 2012 J Exp Biol: seal myoblasts in culture require HYPOXIA + HIGH LIPID to prime 2–3× Mb vs mouse C2C12. Penso-Dolfin 2020 BMC Genomics: 559 miRNA loci; 416 tissue-DE; 80 age-DE; miR-424-3p targets Egln3. Seal Mb has NOT been expressed in mouse cells or Tg mice as of April 2026.,T2 (recombinant Mbs) + T1 (comparative),Medium (ZMb mechanism); Low (translational/lifespan),Functional seal Mb transfer never attempted in mammalian systems.,Mirceta Science 2013 https://doi.org/10.1126/science.1234192 | De Miranda J Exp Biol 2012 https://doi.org/10.1242/jeb.060681 | Penso-Dolfin BMC Genomics 2020 https://doi.org/10.1186/s12864-020-6675-0,Mb-KO mice are viable with compensation — simple gain-of-function unlikely to replicate seal phenotype. Some smaller divers reach high [Mb] without full ZMb shift (alternative routes). Weddell lifespan (~25–30 yr) unremarkable for size — NOT a longevity gene per se. Complex polygenic physiological trait; miRNA study is correlative/in silico.,
